EffectiveThreadNum,GenNum,Gen_Rate[1/us],Avg_Gen_Time[us],Tile_Rate[1/us],Avg_Tile_Time[us],Total_Time[us]
20,100,0.000975096,1025.54,0.0390038,13.899,102554
20,100,0.000845366,1182.92,0.0338146,14.1565,118292
20,100,0.000791941,1262.72,0.0316776,13.86,126272
20,100,0.000607353,1646.49,0.0242941,12.3897,164649
20,100,0.000866333,1154.29,0.0346533,13.182,115429
20,100,0.000957864,1043.99,0.0383145,12.4825,104399
20,100,0.000934073,1070.58,0.0373629,14.4377,107058
20,100,0.000939338,1064.58,0.0375735,13.392,106458
20,100,0.000954071,1048.14,0.0381628,14.1982,104814
20,100,0.000651691,1534.47,0.0260676,12.6948,153447
20,100,0.000990638,1009.45,0.0396255,13.4582,100945
20,100,0.000804499,1243.01,0.03218,13.4868,124301
20,100,0.000942019,1061.55,0.0376807,13.5928,106155
20,100,0.00082763,1208.27,0.0331052,16.947,120827
20,100,0.000905395,1104.49,0.0362158,14.8763,110449
20,100,0.000977708,1022.8,0.0391083,13.3585,102280
20,100,0.000960006,1041.66,0.0384002,12.475,104166
20,100,0.000515002,1941.74,0.0206001,14.232,194174
20,100,0.00121916,820.24,0.0487662,10.7695,82024
20,100,0.000965782,1035.43,0.0386313,13.3057,103543
20,100,0.000937251,1066.95,0.03749,13.8823,106695
20,100,0.000722387,1384.3,0.0288955,13.5565,138430
20,100,0.000829869,1205.01,0.0331947,15.922,120501
20,100,0.000789721,1266.27,0.0315888,12.673,126627
20,100,0.000754239,1325.84,0.0301696,11.4618,132584
20,100,0.000950047,1052.58,0.0380019,12.962,105258
20,100,0.000908372,1100.87,0.0363349,14.8535,110087
20,100,0.000692588,1443.86,0.0277035,11.8517,144386
20,100,0.000638937,1565.1,0.0255575,11.4975,156510
20,100,0.000743539,1344.92,0.0297415,19.2488,134492
20,100,0.000806992,1239.17,0.0322797,18.1923,123917
20,100,0.000881982,1133.81,0.0352793,14.7302,113381
20,100,0.000927807,1077.81,0.0371123,13.923,107781
20,100,0.000955457,1046.62,0.0382183,13.227,104662
20,100,0.000951756,1050.69,0.0380702,13.1412,105069
20,100,0.000871042,1148.05,0.0348417,13.1937,114805
20,100,0.000727463,1374.64,0.0290985,12.9925,137464
20,100,0.000566871,1764.07,0.0226748,13.9102,176407
20,100,0.000591107,1691.74,0.0236443,12.792,169174
20,100,0.000812262,1231.13,0.0324905,13.9923,123113
20,100,0.000828356,1207.21,0.0331343,12.7063,120721
20,100,0.000889648,1124.04,0.0355859,15.2323,112404
20,100,0.000730588,1368.76,0.0292235,18.171,136876
20,100,0.000832307,1201.48,0.0332923,14.823,120148
20,100,0.000714107,1400.35,0.0285643,13.147,140035
20,100,0.000892323,1120.67,0.0356929,15.642,112067
20,100,0.000815694,1225.95,0.0326278,16.3407,122595
20,100,0.000811287,1232.61,0.0324515,18.1932,123261
20,100,0.000603865,1656,0.0241546,23.7452,165600
20,100,0.000661446,1511.84,0.0264578,18.404,151184
20,100,0.000750683,1332.12,0.0300273,18.349,133212
20,100,0.000941673,1061.94,0.0376669,14.5292,106194
20,100,0.000912509,1095.88,0.0365003,14.7918,109588
20,100,0.0010042,995.82,0.0401679,13.7942,99582
20,100,0.000851716,1174.1,0.0340686,17.2243,117410
20,100,0.000985163,1015.06,0.0394065,12.9315,101506
20,100,0.000889355,1124.41,0.0355742,15.3852,112441
20,100,0.000913284,1094.95,0.0365313,14.6303,109495
1,100,0.00372689,268.32,0.00745379,104.585,26832
2,100,0.00108835,918.82,0.00435341,82.0175,91882
3,100,0.00271673,368.09,0.0163004,36.7117,36809
4,100,0.00145573,686.94,0.0116458,48.9738,68694
5,100,0.00190114,526,0.0190114,34.646,52600
6,100,0.00122829,814.14,0.0147395,30.645,81414
7,100,0.00089419,1118.33,0.0125187,22.9607,111833
8,100,0.00160061,624.76,0.0256098,20.6337,62476
9,100,0.000821362,1217.49,0.0147845,21.4856,121749
10,100,0.000736909,1357.02,0.0147382,19.147,135702
11,100,0.00132226,756.28,0.0290898,18.4591,75628
12,100,0.000684964,1459.93,0.0164391,17.7733,145993
13,100,0.00111822,894.28,0.0290737,18.8523,89428
14,100,0.000702237,1424.02,0.0196626,15.5411,142402
15,100,0.000666165,1501.13,0.0199849,14.9993,150113
16,100,0.00116655,857.23,0.0373295,14.7022,85723
17,100,0.000888533,1125.45,0.0302101,17.8988,112545
18,100,0.000702859,1422.76,0.0253029,12.5736,142276
19,100,0.00110013,908.98,0.0418051,12.4016,90898
20,100,0.000860363,1162.3,0.0344145,15.7803,116230
20,100,0.000801199,1248.13,0.0320479,17.6608,124813
20,100,0.000964599,1036.7,0.038584,14.0205,103670
20,100,0.00096354,1037.84,0.0385416,13.6865,103784
20,100,0.000970789,1030.09,0.0388316,13.3302,103009
20,100,0.000670637,1491.12,0.0268255,12.6457,149112
20,100,0.00102408,976.49,0.040963,12.3332,97649
20,100,0.000690022,1449.23,0.0276009,13.2528,144923
20,100,0.000914905,1093.01,0.0365962,13.4823,109301
20,100,0.00103725,964.09,0.0414899,12.7935,96409
20,100,0.00103224,968.77,0.0412895,12.023,96877
20,100,0.000892228,1120.79,0.0356891,12.9477,112079
20,100,0.000921319,1085.4,0.0368528,13.7955,108540
20,100,0.0009999,1000.1,0.039996,12.7825,100010
20,100,0.000846912,1180.76,0.0338765,11.9938,118076
20,100,0.000933045,1071.76,0.0373218,12.9265,107176
20,100,0.00103086,970.06,0.0412346,12.7197,97006
20,100,0.00104117,960.46,0.0416467,12.7405,96046
20,100,0.000672169,1487.72,0.0268868,14.113,148772
20,100,0.00103953,961.97,0.0415813,12.8195,96197
20,100,0.000916212,1091.45,0.0366485,15.1768,109145
20,100,0.000803484,1244.58,0.0321394,17.3932,124458
20,100,0.000978694,1021.77,0.0391478,14.035,102177
20,100,0.000934204,1070.43,0.0373682,13.8808,107043
20,100,0.000915533,1092.26,0.0366213,13.862,109226
20,100,0.000923276,1083.1,0.036931,13.8963,108310
20,100,0.000928324,1077.21,0.037133,13.4917,107721
20,100,0.00085147,1174.44,0.0340588,13.2445,117444
20,100,0.000687569,1454.4,0.0275028,12.3353,145440
20,100,0.000844673,1183.89,0.0337869,13.6632,118389
20,100,0.000909215,1099.85,0.0363686,13.4582,109985
20,100,0.00087545,1142.27,0.035018,14.6738,114227
20,100,0.000904404,1105.7,0.0361762,13.3117,110570
20,100,0.000543416,1840.21,0.0217366,13.9578,184021
20,100,0.000927472,1078.2,0.0370989,12.9125,107820
20,100,0.000924924,1081.17,0.036997,13.7005,108117
20,100,0.000969584,1031.37,0.0387834,13.4302,103137
20,100,0.000756974,1321.05,0.0302789,14.0213,132105
20,100,0.000862597,1159.29,0.0345039,15.376,115929
20,100,0.000692089,1444.9,0.0276836,16.93,144490
20,100,0.000854037,1170.91,0.0341615,16.737,117091
20,100,0.000874837,1143.07,0.0349935,16.2922,114307
20,100,0.00102493,975.68,0.040997,13.5128,97568
20,100,0.000785805,1272.58,0.0314322,14.2457,127258
20,100,0.000896451,1115.51,0.035858,14.036,111551
20,100,0.000950805,1051.74,0.0380322,13.5823,105174
20,100,0.0009051,1104.85,0.036204,13.4625,110485
20,100,0.000977727,1022.78,0.0391091,12.156,102278
20,100,0.000960624,1040.99,0.038425,14.3205,104099
20,100,0.000909488,1099.52,0.0363795,15.0015,109952
20,100,0.00109649,912,0.0438596,12.2903,91200
20,100,0.000645107,1550.13,0.0258043,13.108,155013
20,100,0.000998133,1001.87,0.0399253,12.5143,100187
20,100,0.000958414,1043.39,0.0383366,12.8305,104339
20,100,0.000796445,1255.58,0.0318578,16.2997,125558
20,100,0.000598939,1669.62,0.0239575,11.5623,166962
20,100,0.000791177,1263.94,0.0316471,16.2252,126394
20,100,0.00082588,1210.83,0.0330352,18.919,121083
20,100,0.000879825,1136.59,0.035193,14.8298,113659
20,100,0.000963828,1037.53,0.0385531,12.851,103753
20,100,0.00102055,979.86,0.0408222,12.809,97986
20,100,0.000911419,1097.19,0.0364568,15.479,109719
20,100,0.000957469,1044.42,0.0382988,12.882,104442
20,100,0.000935839,1068.56,0.0374336,13.6562,106856
20,100,0.000648496,1542.03,0.0259398,11.898,154203
20,100,0.000876501,1140.9,0.03506,13.5262,114090
20,100,0.000922007,1084.59,0.0368803,14.1583,108459
20,100,0.000620721,1611.03,0.0248288,12.7477,161103
20,100,0.000702958,1422.56,0.0281183,16.38,142256
20,100,0.000899289,1111.99,0.0359715,15.055,111199
20,100,0.000688028,1453.43,0.0275211,11.4008,145343
20,100,0.00103328,967.79,0.0413313,12.6497,96779
20,100,0.000915156,1092.71,0.0366062,12.5122,109271
20,100,0.00104172,959.95,0.0416688,12.3507,95995
20,100,0.000808466,1236.91,0.0323387,12.1613,123691
20,100,0.000853883,1171.12,0.0341553,17.1685,117112
20,100,0.000797843,1253.38,0.0319137,15.2622,125338
20,100,0.00110251,907.02,0.0441005,12.1255,90702
20,100,0.000836519,1195.43,0.0334608,13.364,119543
20,100,0.000863252,1158.41,0.0345301,13.8153,115841
20,100,0.000618835,1615.94,0.0247534,11.9258,161594
