EffectiveThreadNum,GenNum,Gen_Rate[1/us],Avg_Gen_Time[us],Tile_Rate[1/us],Avg_Tile_Time[us],Total_Time[us]
64,100,0.000765374,1306.55,0.0979679,8.48641,130655
64,100,0.000774671,1290.87,0.0991579,9.03781,129087
64,100,0.000700977,1426.58,0.0897251,9.79766,142658
64,100,0.000735446,1359.72,0.094137,9.46078,135972
64,100,0.000812005,1231.52,0.103937,8.55789,123152
64,100,0.000811741,1231.92,0.103903,8.40352,123192
64,100,0.000830337,1204.33,0.106283,8.35352,120433
64,100,0.00078169,1279.28,0.100056,8.91164,127928
64,100,0.000831871,1202.11,0.106479,8.30016,120211
64,100,0.000722679,1383.74,0.0925029,9.42367,138374
64,100,0.000738176,1354.69,0.0944866,9.44109,135469
64,100,0.000792751,1261.43,0.101472,8.6282,126143
64,100,0.000820486,1218.79,0.105022,8.37453,121879
64,100,0.000807337,1238.64,0.103339,8.4868,123864
1,100,3.78558e-06,264160,7.57116e-06,132017,2.6416e+07
2,100,3.9262e-06,254699,1.57048e-05,63652.2,2.54699e+07
3,100,3.99506e-06,250309,2.39703e-05,41712.3,2.50309e+07
4,100,4.08029e-06,245081,3.26423e-05,30630.2,2.45081e+07
5,100,4.01872e-06,248835,4.01872e-05,24874,2.48835e+07
6,100,3.73002e-06,268095,4.47602e-05,22335.5,2.68095e+07
7,100,3.92104e-06,255034,5.48946e-05,18211.4,2.55034e+07
8,100,3.57705e-06,279560,5.72329e-05,17467.3,2.7956e+07
9,100,3.73392e-06,267815,6.72105e-05,14874.3,2.67815e+07
10,100,4.01016e-06,249367,8.02032e-05,12456.3,2.49367e+07
11,100,4.05937e-06,246343,8.93062e-05,11190.1,2.46343e+07
12,100,4.03517e-06,247821,9.68441e-05,10321.4,2.47821e+07
13,100,3.47439e-06,287820,9.03341e-05,11065.5,2.8782e+07
14,100,3.89878e-06,256491,0.000109166,9156.71,2.56491e+07
15,100,3.39761e-06,294325,0.000101928,9806.09,2.94325e+07
16,100,2.65312e-06,376915,8.48998e-05,11765.2,3.76915e+07
17,100,3.24149e-06,308500,0.000110211,9067.59,3.085e+07
18,100,3.55719e-06,281120,0.000128059,7801.01,2.8112e+07
19,100,3.35415e-06,298138,0.000127458,7834.32,2.98138e+07
20,100,3.10709e-06,321844,0.000124284,8037.62,3.21844e+07
21,100,2.98441e-06,335075,0.000125345,7963.67,3.35075e+07
22,100,2.39557e-06,417437,0.000105405,9471.63,4.17437e+07
23,100,3.21197e-06,311335,0.000147751,6761.5,3.11335e+07
24,100,2.62529e-06,380910,0.000126014,7921,3.8091e+07
